A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940)
3182.182308940988,1214.1015725230106,3246.7228988492698,852.8721473090699,1080.2920810462797,1771.8163762463662,473.35404239775335,484.096489629668,1410.2617828004365,253.82309337683597,342.3772681404484,74.9097817688037,87.99405679133748,101.0108245297619,242.54114895373667,320.7059290078631,122.50916377453842,54.83818104771676
3027.236575300058,1104.3389426716246,3043.139394878665,792.7343937868037,1024.9557296125254,1721.5574903397799,448.5399391248636,454.604297008642,1375.2340424882411,238.42082625030395,336.51157435367816,71.47643863898585,85.7525495977655,170.7053223828516,240.69192276740736,316.6067214048649,119.43464452249215,52.81802112777429
2880.380095942054,1004.3241009216811,2860.5202657502778,739.5056016867617,975.9806274727539,1677.9815177500654,428.12062504261024,430.6184160596601,1345.908787567999,225.77837426813306,331.3982068970831,68.67429026035342,83.9041021075562,221.97808278049143,238.9991926041898,312.99994916581613,116.90111193497415,51.144950148994894
2741.612870866976,914.0570472731799,2698.8655114641087,693.1857710089437,933.3667746269656,1641.0884584772232,412.0961001509932,412.1388467827222,1322.2860180397101,215.8957374303233,327.0371657706632,66.50333663290638,82.44871432070961,254.8291057226815,237.46295846408393,309.88561229071684,114.90856601198443,49.81896811137858
2610.9349000748243,833.5377817261212,2558.1751320201574,653.7749017533497,897.1141710751602,1610.878312521253,400.4663644500126,399.16558917782845,1304.3657339033743,208.77291573687464,323.42845097441847,64.96357775664475,81.38638623722572,269.25839120942163,236.08322034708976,307.26371077956696,113.45700675352299,48.84007501492535
2488.346183565604,762.7663042805063,2438.4491274184297,621.2729939199812,867.2228168173398,1587.3510798821585,393.2314179396691,391.6986432449794,1292.147935158995,204.40990918778766,320.5720625083497,64.05501363156866,80.71711785710471,265.26593924071284,234.85997825320788,305.1342446323674,112.54643415959006,48.208270859635306
2325.6509576495987,676.7743121850135,2295.128681893635,586.4373155259241,838.4138419042204,1564.4932306067171,390.29649230028883,390.2480745682143,1289.2648075999764,202.78259591839995,318.557331824371,63.95100908124087,80.58236686950457,219.31872776465914,233.44379323455004,303.03947743933975,111.88589178960311,47.86791726706089
2201.280391293236,618.2173768435625,2200.9472840301605,565.2423534268476,820.0761778248971,1552.8030512163893,392.96561245647456,395.68312354901,1290.9678228925836,204.9082426623657,317.394157769701,64.5325711038919,80.868497750436,147.56466386542414,232.36538356658951,301.7339869853051,112.0528409596296,48.00344445598543
2137.372571534565,592.1091267167244,2170.0166484824895,559.9265629183321,812.6306751628354,1552.5389262680667,400.3949695315314,406.272626678487,1294.7966175629072,209.76676210924222,316.50318852431064,65.67202267651885,81.40228140231903,48.708662894075424,231.76624942581873,301.37647813624636,113.10237062591959,48.579715532160506
2127.3106640138776,595.4902477508296,2199.3513129588337,567.3102198753303,813.7693524789165,1561.1624197242782,409.9914994037953,418.7324365043835,1297.9193126937337,215.6362150043795,315.4155393434436,67.02588067913896,81.9550382766883,74.7028030895382,231.55156409858222,301.61549059228946,114.82318719793807,49.39585760118373
2156.3137897318984,623.2525090390282,2278.387363557204,583.127730821711,820.7648872338768,1576.3572719513922,418.4076907737304,429.4092391249344,1298.1387190893465,220.81547764418994,314.6285671368147,68.08901670633553,82.29155097993504,66.18019224461003,231.72228518584922,302.21329844472956,116.66622442113778,50.14031056919271
2203.0391706678624,662.5073447243711,2383.493362755342,603.2515328483084,832.2461886665309,1592.6097669740868,424.8352595738476,436.8438317022682,1298.399862591306,224.21352909704086,314.80011646874027,68.76361489462015,82.40676388974143,63.90596113542852,232.44608246938827,303.43717972198306,118.23226874987073,50.6648516545096
2236.11140061846,694.2890779271506,2474.424922967768,619.1067029804896,842.200564002908,1600.1591424094565,428.220543976586,439.56344263863707,1301.4281601238322,224.94998924917434,315.5123595829742,69.01670379656493,82.35050662264754,66.35945029983492,233.51085099423642,304.81633353191785,119.46784247438161,50.89770486475655
2240.7897328826616,709.7260750209234,2530.4877831258173,627.3290135227567,849.289319443567,1603.5688046278965,428.61595190906644,440.0042231117492,1309.2074813190522,224.7407997833009,317.7508297568746,69.02732341889872,82.34866341842005,70.828399774515,234.75075140239682,305.9253768430996,120.53223984710493,50.85829851579807
2253.7534686720974,718.1438127495211,2562.8898268696503,634.4444317142561,859.1805937447461,1610.5422787220937,428.9363549686685,441.3653757884896,1320.4386279756254,225.38536568738618,321.2848351453908,69.05824838744142,82.48337224520861,70.65873520217431,236.12973873486095,306.9284218824237,121.73339666459447,50.77010020684635
2312.239005183142,733.9603177498185,2591.1889148447435,646.2491174307711,874.8875970205067,1624.8107894891073,431.7532415129342,445.33880890669786,1332.837802685081,227.55171432373564,324.6331138343674,69.43938812398748,82.79426053568065,70.7424387034194,237.61930207463274,308.06335613918327,123.41751037211218,50.91995620214085
2425.9753104078595,763.7347396403945,2628.641491074035,664.3799812267988,896.630167779834,1649.9557805983252,437.74959996818774,453.07728149464106,1345.7095758547093,232.27000449186212,327.7403237324488,70.32228725869359,83.32809256584031,71.1270108397096,239.28061136005596,309.3074384740964,125.78653619204371,51.51022875227963
2599.2472958467124,809.3582818385424,2681.7151925585035,694.7162791531832,924.6160764313021,1681.6210712772443,446.42634230267197,464.06215948468,1356.1830484478933,239.34222041284718,329.7170529811173,71.52404904260658,83.9486389634933,71.64975037310117,240.6925964089134,310.1961037192166,128.460060289934,52.452116705654745
2802.3389791000664,851.0545161426166,2725.0511197200485,728.2398823704139,947.9526482422973,1705.935569414993,453.0456396823111,472.23343898484893,1358.3306971875409,245.38741893403494,328.8366504193732,72.54250008407848,84.29163524060185,71.98702834714894,241.13553101727706,310.0518404351091,130.71773285372274,53.34172178908921
2960.415349494402,857.4758524220348,2709.7278936489374,743.6977141781933,951.8584586409022,1711.356230126668,454.02123640470865,474.118081552389,1348.2621243566946,248.16094427288124,325.2262364232364,72.84347359323135,84.15622128734665,71.82700388157456,240.25829357832936,308.3518769719589,131.94051364918252,53.81415135309871
3022.3572283646818,818.2027638732991,2603.0377179711722,735.7097771787573,933.5129093973209,1692.4907869073243,448.35695210905226,468.59774147869894,1325.3945179772804,246.7438382191864,320.10797144389795,72.059196428191,83.29134101815481,70.98694705589827,238.01057647286774,305.0391707171179,131.6366049924356,53.568087225140495
2965.1526189321994,741.0747084151317,2418.054916536933,702.1269119124995,891.7002880849069,1644.9496482678856,433.9827847213852,453.1475248734073,1290.3263360417495,239.73630827191198,313.5033844328082,70.08330873753906,81.37603968498307,69.48468057199851,234.30379078351166,300.23148848397466,129.60176719878402,52.37053679704913
2801.133131086376,642.3484156596726,2188.807778731508,640.8835534791737,830.6704857056832,1574.581192263764,414.0157142588166,432.01567408690937,1247.01722204562,229.23014430477363,306.7256743271651,67.36350232310753,78.61071350145608,67.61671760455934,229.11694706231583,294.7752858173241,125.8953646367066,50.48916185241835
2572.9591824125605,555.177188256072,1958.734568414852,568.8932537456062,769.7928239446351,1495.2362023947408,394.0123058210539,410.46648726021874,1201.8328593238862,217.9125466583702,300.40832876464464,64.52939691886246,75.29908120916771,65.72553838677386,222.65772823368897,289.0275243574093,120.83499702119957,48.34295239003639
2343.196767275222,510.3086986420311,1780.9429717954908,504.8853514640897,723.4878302744983,1417.07399541873,378.1828380715699,392.7148225619135,1157.7826649083413,208.09584411422622,294.03925147329886,62.20227850539291,72.02976227027357,64.01717881005172,215.22300115336236,283.08362068076576,115.01809066773501,46.35298476102436
2140.0024613302044,516.4945446540937,1685.5745972637906,460.0419142159292,699.7864258140521,1342.7276625397658,367.75396840941164,379.9067916439723,1116.0312467920983,200.37628006164402,287.1534313187203,60.54019047345209,68.02590954949883,62.609716750667225,206.63134459647222,276.57412495582184,108.65274464401001,44.672100614665894
1955.8732124362339,562.45647246054,1665.148869417155,436.094694897647,699.1741101797184,1274.6845600934598,360.8343244918269,370.3794890969291,1074.18646254875,194.0602912770188,279.2613590027078,59.28108844221602,64.51567505870926,61.53383058480644,197.3979557415901,269.08611486708895,102.04593692969917,43.259440225360855
1794.5703334508073,623.3282356509858,1692.9888304668639,433.8519613619171,715.2027082971501,1213.378154648632,355.2984733260191,362.762160451998,1032.5288460823683,188.78530405678626,270.307324720083,58.18706143897889,62.22043042382622,60.724189516678905,187.4111998505304,259.95620876991677,95.04259824479226,41.99502770834873
1662.2678227644892,667.3613909261339,1733.9656647170314,440.8072086828397,733.5562552478868,1165.745105250188,348.3799837273627,355.23614956241533,999.5550695157391,184.21753414187498,262.8038215232849,57.158685443924455,61.63491126185498,60.32108112947372,176.76606655106838,251.22331792891603,87.99150974520404,40.8992400220761
1537.7261522515878,667.7183060341922,1742.3044285908945,441.7866850793426,742.3598217428637,1131.3344965807735,339.8455619618695,347.98279981023074,974.5578291614864,180.18360706641207,257.38295258232506,55.98206823680624,62.69070380946545,60.22097200324256,167.15692304069412,243.94894230968765,81.7979085762027,39.95391234719591
1423.5810546814605,626.9361065182651,1702.8848059593313,437.13909893440336,740.4810117175819,1110.8080073745957,331.22613493295336,342.1751132570688,957.7368193040727,177.29532178150487,254.22360628053747,54.73148567341741,64.77544443494816,60.1985311999574,159.5448980925298,238.90642473908434,77.08113950922157,39.16412545572928
1346.0623870293161,562.6636802396265,1646.848092921636,425.4794782995499,725.0846207707698,1111.0372716371328,322.6529489630143,337.29676626728144,956.3167424026249,175.59244429433318,254.7462225568156,53.76058809216022,67.38638381329078,60.36357580786399,154.54645412182572,237.43346941617375,74.22468511690359,38.622195015064975
1337.277269549018,496.20423397266404,1607.8718031599021,408.8796573130555,702.4092678525108,1134.1909673068187,318.20950642473747,336.7935339907523,972.8807110430394,176.36339947237673,259.55905308596806,53.535055235385585,70.25806701815753,60.89791946754772,153.32302019585828,240.39045159266414,73.91654789692045,38.51896557319049
1388.5257946943748,453.783806400094,1599.9163367280098,399.80165818007083,686.5940852739125,1169.3368794100936,319.876614104055,340.89742279642024,1002.2671721995474,179.2123164762016,266.876836615751,54.026732462645775,72.77392256852139,61.5666786162309,155.24698667696327,246.18028131837355,75.7264128187181,38.74684277623468
1486.8153578047995,447.9234447352239,1641.4368884542082,404.35321871102997,682.9952241895535,1205.8945774482577,326.9164420454647,348.57152096031047,1039.072010508935,183.5516676413178,275.0745340745474,55.138367120423126,74.66665541480776,62.297732084364526,159.39967107676526,252.8868585854525,78.95247549160675,39.20618978497724
1613.2820450607005,477.5285164576361,1726.8353407188092,423.8570672555393,694.2756833744018,1234.3305669952329,337.46274010731946,357.63271661940365,1076.5142286825,188.0921081059954,282.5150978278548,56.55573741611103,75.1018395878389,63.07978492276631,164.43387296402136,258.82121929395277,82.62189497163064,39.75489100260305
1713.136713511739,534.1952130105143,1819.4166376017274,452.759460420659,717.9568978072035,1238.7427912665994,348.70508852771246,365.8670947896634,1098.079279209876,191.58483780089637,285.8446644372654,57.759732834410684,75.08383940982156,63.43766558629286,168.5177937958419,261.2655955801406,85.69784395148035,40.24492234680447
1755.193801096119,599.737333667083,1895.3887434545786,484.2172478301653,748.260870200115,1216.8254505141638,358.2501474404513,372.34467998299283,1096.9878560207853,193.9275052417113,283.8437757707086,58.50831936689383,74.81144382038838,63.13845123231675,169.74652558776458,258.14965237274157,87.3105358894548,40.559567804232834
1758.2182924288218,665.3374167104371,1953.0591404104985,512.0435835641979,781.0124247435106,1187.6365431378,366.2450913248206,378.078491625726,1084.3135374201943,196.11518238988623,279.2885091387392,58.8501690646659,74.81972835429764,62.63772672010373,168.90625840283582,252.6702960491036,87.5545585553438,40.79671877532703
1725.7677878076893,716.6511111984186,1969.7827141514367,528.2424993718802,807.4440297814924,1158.5651633434832,371.7812514548126,382.31713427875377,1063.2148217559354,197.7944016100347,272.6504759623066,58.69515976419077,75.02041972506852,61.96526077413666,168.09866309890126,246.57075452682102,87.10467475802662,40.956699912387904
1656.6120663876377,735.41079215755,1924.908151083549,524.391443164727,818.7897760058747,1143.707757142468,374.07231642930793,384.8852612068253,1044.8838105913906,199.1001852748169,266.91493908071305,58.08553403175256,75.23686049482696,61.19130068114519,169.15373045312907,243.18851966921272,86.41277840016593,40.96586485657687
1590.178111630929,722.3923895556245,1845.2866147207988,505.1962058813833,813.9691670455898,1162.472884755065,373.91330689657343,386.1914829438682,1046.2246185467404,200.31464913264665,266.2867018648903,57.43714824634212,75.73189694229796,60.94290395595678,173.94279655270196,245.80777229827183,86.30178925759759,40.907335024913806
1567.1937343586042,690.156428129646,1764.1736092978927,480.57082221706685,798.6800412902212,1220.3701070140885,373.4541704651158,387.5498869362491,1073.8343445107164,201.7543998322231,272.0932262554704,57.09278736433119,76.54114298510699,61.53579964630321,184.299943921987,254.87531299876701,87.94389412252262,40.92613922940153
1589.594344432954,645.7461947623693,1703.1844592663283,459.1829815461879,778.6376772431922,1310.286073157045,373.9218784763989,389.9594668698764,1123.6056894308986,203.55163566520298,283.81140637893026,57.27213376977572,77.49684695775359,62.86156383000975,199.08851451526635,268.08714647235706,91.31575904417923,41.166121058905894
1667.1200341834171,607.4115505374173,1697.4761166567455,452.7763302257283,764.0701423008622,1424.8931624740303,376.894888554182,394.37462465585253,1192.9471828295864,205.93685323519747,300.4300875454758,58.19536067534716,78.66062328284264,64.9205865951408,215.64965852113616,283.0479415776114,95.9457658439737,41.75839813859547
1799.58934611739,595.7882500024981,1764.5761049903144,469.46149680254786,764.6153651554519,1540.1806495988726,384.1621378022408,402.1119418205973,1269.3408992853456,209.4967390736253,318.2713321081461,59.915205336980534,79.99731302055277,67.40675007229724,230.34537271645587,296.7530717365048,100.7507845601321,42.81773525191214
1937.8837949300644,615.8051438486535,1878.7362517539295,504.43152835785975,780.6768703397016,1620.954678457003,394.30074322916903,411.90948012931256,1322.8574598525788,213.57554228766162,330.70439834299253,61.87380188045293,80.90365475695486,69.33752806122006,238.87592855223906,303.92911439275986,104.31240155867363,44.088083462770996
2046.054369907762,665.0931432700163,2015.3194106305982,549.3743908844741,808.5337729016576,1647.5822821751633,404.2209547181168,420.68270131710085,1336.7160717118086,216.8717545166245,333.60840814560225,63.533383664187845,81.16465332099187,70.15037431965436,238.15332077813883,301.66019741244196,105.77113792497772,45.1707793343215
2123.835009028146,743.7257751651152,2156.441925831542,597.1913823062338,844.3964088999014,1618.2718721935707,412.28532438779865,426.9432711466969,1312.294266087738,219.09844213563665,327.0604155110076,64.6331398740425,80.85483515907862,69.84067051740061,229.1025135407067,291.9984902376876,104.80363538638163,45.940218764957535
2162.032356706539,831.5999220789936,2268.5909591472177,637.1668400954203,878.2654328180736,1542.493612512066,416.3698590611717,429.15254358053056,1256.2928893737637,219.79225099607402,313.031956870987,65.01063990246828,80.04070637669625,68.57441614427962,214.595674585325,277.7959789342203,101.89777253026276,46.3445087279982
2145.1333338429936,902.1160141354742,2321.8048623334266,658.1016744300011,901.0974737097986,1439.0651576391135,414.2789541911967,425.98913546005576,1180.8216548976748,218.52837777797114,295.0163314627413,64.55513311045465,78.88179803062503,66.69887166453009,198.084367697815,262.60658165121134,97.76434830122179,46.16914941630013
2083.306279115367,939.7244583893786,2316.9053214637274,657.9487608144051,908.2424072617794,1330.336475463499,406.0787732977854,417.95220004354155,1102.6763860700846,215.58790799258674,276.8116768410678,63.51295710461853,77.61912256254357,64.71365149435033,182.82565056416945,249.18677244772982,93.36269248546964,45.454207444773346
1983.2389889237907,934.437449835181,2248.410742141902,635.5717136551204,896.2366152497209,1232.9949211386959,393.450798348626,406.46010775486485,1033.9276301401633,211.2777851281362,261.343246508074,61.99657069219981,76.30279684632885,62.85892888135683,171.5358585655252,239.10621581775777,89.68273574557847,44.365847410638
1839.19007009928,881.3570287016005,2119.020699960884,593.3368386495822,864.8902950879028,1153.024848715384,378.22537691398026,393.065603124008,977.6739352121228,205.80965044209586,249.8852880438076,60.181648153713994,75.03167744025411,61.28779100494769,164.62282542603145,232.1382784027085,87.22733690320585,42.98524570672862
1679.1245945497567,798.2694692387894,1969.4986499309416,542.580469504754,823.6543389061771,1103.9142591990083,363.5016283431187,380.2440140871056,940.0461278557,200.1104821462724,243.05856736356117,58.337927500105096,73.93841866832955,60.13220894617599,162.01530100094647,228.7098722209289,86.09949621780672,41.50091961103535
1553.8412465769297,708.147415197272,1838.9432349979752,494.9243988335687,782.440979482773,1089.704709955372,352.4708200564465,370.50149174766693,923.7245289368301,195.36173219217716,241.00968421209745,56.79182014625451,73.18969524955725,59.50534178851465,163.71273284032503,229.41048682539798,86.29910712127142,40.26897521835115
1503.8244700566343,638.1237841606799,1758.6789581035964,461.84334240741725,751.1379371097212,1111.764996279927,347.78082934762267,365.9988442259946,926.4467085468345,192.68983087930076,243.11941058450208,55.88688474085171,72.98147052808883,59.54552554879734,169.0152453927127,233.92839877932266,87.8507866731336,39.63361229901615
1546.539083737755,607.3685491136731,1748.8783347426343,450.0959472419959,737.043741785255,1173.728071089315,350.2552972686369,367.72329526588146,949.4104578733784,192.97091552379345,249.00913192765566,55.84430486077808,73.38941550737904,60.300111445161264,177.77649477878487,241.86950322800425,90.62702699667574,39.76939840629438
1695.019406340303,623.8290911488671,1822.9877523602236,464.8144177972015,745.6068481854556,1267.635165104564,359.6187590603615,375.69648794334586,994.8595855247493,196.51001744897798,259.1872828033925,56.76402011373911,74.40084966753051,61.72497395775611,188.96693640035306,253.11764183217443,94.00561648135746,40.768637855884634
