pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
8.46,0.25,0.63,15,586.8,43.5,3,18.14,3.2,3.51,1.97,0.64,0.68
8.55,1.17,0.96,6.25,777,26.3,16.8,30.76,5.14,5.28,2.92,1.02,0.77
6.93,0.09,0.63,30.95,334.8,8.5,2.8,9.47,10.47,10.1,1.38,0.67,0.48
6.94,0.2,0.88,63.94,295.68,10.16,4.21,14.07,40.54,24.8,2.7,1.24,0.7
7.7,0.25,1.21,63.06,751.52,8.27,3.36,21.52,6.81,15.23,3.28,2.79,0.94
7.95,0.5,0.4,61.49,406.56,7.73,5.18,22.35,18.74,25.87,0.37,1.06,1.06
6.85,0.11,0.64,32.76,109.53,5.9,3.1,26.49,10.32,21.49,2.6,1.67,0.97
6.29,0.06,0.21,56.06,158.21,4.2,1.5,11.59,26.45,17.8,1.19,1.03,0.73
7.49,0.11,0.61,37.49,133.87,4,1.2,21.52,7.75,15.7,0.72,1.64,0.89
5.35,0.04,1,19.97,36.51,1.5,0.7,14.07,40.68,34.02,1.32,0.53,1.21
6.16,0.1,0.98,27.86,462.46,6.7,3.3,24,120.77,26.55,0.59,1.2,0.16
4.98,0.18,0.77,20.15,133.87,3.5,0.8,18.21,61.7,16.28,0.94,0.6,0.77
6.08,0.26,1.02,22.6,438.12,10.7,2,11.59,55.84,52.61,0.43,0.96,0.45
4.92,0.1,0.18,10.34,182.55,5.1,2.7,7.45,30.02,4.1,4.05,1.94,1.21
5.76,0.04,0.33,21.72,133.87,2.5,1.5,13.24,42.02,12.85,2.17,1.06,1.01
5.77,0.07,1.14,37.67,206.89,7.3,2.5,16.56,19.74,36.62,2.32,0.77,1.17
6.72,0.09,1.05,26.1,444,6.14,2.32,11.21,3.08,14.1,2.23,0.84,1.22
6.04,0.17,0.33,81.99,372,5.98,0.5,12.93,47.74,37.63,3.28,6.79,1.13
5.35,0.07,0.87,80.59,132,3.15,2.49,5.17,14.96,44.53,1.22,1.21,0.98
8.28,0.45,0.6,10,509.4,42.5,9,9.47,12.86,19.41,2.95,0.93,0.15
7.78,0.46,0.87,58.45,392.4,8.5,3,4.73,3.86,14.5,1.2,2.49,0.38
5.1,0.06,0.48,75.65,152.4,4,3,21.3,45.51,16.92,1.23,0.55,0.6
7.82,0.07,0.42,25.63,545.4,12.5,6.3,23.66,4.39,7.51,2.47,2.27,0.75
6.38,0.03,0.48,33.81,221.76,3.4,1.9,11.59,6.38,10.62,1.77,0.99,0.27
8.6,0.13,0.57,13.14,308,16.6,5.1,17.38,19.25,2.49,1.16,0.11,0.19
8.58,0.04,0.69,38.19,234.08,6.6,5.2,34.1,14.08,3.56,1.56,0.4,0.77
8.02,2.23,0.24,45.37,279.91,14.5,5,26.49,27.39,4.18,0.67,1.91,0.81
8.72,0.15,0.6,14.19,231.23,8.7,3.5,19.04,2.92,4.65,0.47,0.85,0.49
8.78,0.23,0.57,57.46,438.12,30.7,3,24.83,4.23,12.64,0.65,0.44,0.24
7.65,0.14,0.51,24.7,702.24,7.3,2.5,57.93,0.7,1.46,1.17,0.42,1.05
8.18,0.14,0.27,7.53,209.44,10.4,4,42.68,1.95,0.72,1.05,0.29,0.69
7.95,0.11,0.21,4.73,258.72,11.7,4.6,82.93,2.51,0.51,0.42,0.13,0.75
4.9,0.06,0.47,10.34,73.02,1.7,1.3,2.48,26.31,16.94,1.42,0.7,0.81
7.68,0.32,0.6,31.71,582,,15,8.6,6.27,5.39,1.27,0.73,0.26
